Address,Address_to_run_script,LatLng_script,LAT_script,LNG_script,LAT,LNG,Chanel,Business_name,Address_line_1,Address line 2,City,Postal_code,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,STATURDAY,SUNCDAY,LINK,CAMP_TEXT,,
"Dresden, Peschelstraße 33","Dresden, Peschelstraße 33, Germany","51.084981, 13.696617",51.084981,13.696617,51.084981,13.696617,Franchise,TOM TAILOR Store,Peschelstraße 33,Elbepark,Dresden,1139,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,Lat,Lng
Nordhausen Am Pferdemarkt 1,"Nordhausen Am Pferdemarkt 1, Germany","51.5034274, 10.7944638",51.5034274,10.7944638,51.5034274,10.7944638,Franchise,TOM TAILOR Store,Am Pferdemarkt 1,Nordhäuser Passage,Nordhausen,99734,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Lingen Poststraße 5,"Lingen Poststraße 5, Germany","52.520029, 7.318438999999999",52.520029,7.318439,52.520029,7.318439,Franchise,TOM TAILOR Denim Store,Poststraße 5,Lookentor,Lingen,49808,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Jena Goethestraße 3,"Jena Goethestraße 3, Germany","50.9274973, 11.5820807",50.9274973,11.5820807,50.9274973,11.5820807,Franchise,TOM TAILOR Store,Goethestraße 3,Goethe Galerie,Jena,7743,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Schwedt Landgrabenpark 1,"Schwedt Landgrabenpark 1, Germany","53.0655381, 14.2734489",53.0655381,14.2734489,53.0655381,14.2734489,Franchise,TOM TAILOR Store,Landgrabenpark 1,Oder-Center,Schwedt,16303,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Eisenach Karlstr. 32,"Eisenach Karlstr. 32, Germany","50.9751, 10.32312",50.9751,10.32312,50.9751,10.32312,Franchise,Tom Tailor Store,Karlstr. 32,,Eisenach,99817,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Wildau Chausseestr. 1,"Wildau Chausseestr. 1, Germany","52.3140386, 13.6073362",52.3140386,13.6073362,52.3140386,13.6073362,Franchise,Tom Tailor Store,Chausseestr. 1,A10 Center,Wildau,15745,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Neubrandenburg Marktplatz 2,"Neubrandenburg Marktplatz 2, Germany","53.5573835, 13.2595059",53.5573835,13.2595059,53.5573835,13.2595059,Franchise,Tom Tailor Store,Marktplatz 2,Marktplatzcenter,Neubrandenburg,17033,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Potsdam Babelsbergerstr. 8,"Potsdam Babelsbergerstr. 8, Germany","52.3926863, 13.0640369",52.3926863,13.0640369,52.3926863,13.0640369,Franchise,Tom Tailor Store,Babelsbergerstr. 8,Potsdam Hauptbahnhof,Potsdam,14473,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Rostock Kröpeliner Str. 47,"Rostock Kröpeliner Str. 47, Germany","54.0883421, 12.1303383",54.0883421,12.1303383,54.0883421,12.1303383,Franchise,Tom Tailor Store,Kröpeliner Str. 47,,Rostock,18055,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Rostock - W. Am Strom 114,"Rostock - W. Am Strom 114, Germany","54.1807874, 12.0866506",54.1807874,12.0866506,54.1807874,12.0866506,Franchise,Tom Tailor Store,Am Strom 114,,Rostock - W.,18119,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Schwerin Marienplatz 5 - 6,"Schwerin Marienplatz 5 - 6, Germany","53.6282574, 11.4083171",53.6282574,11.4083171,53.6282574,11.4083171,Franchise,Tom Tailor Store,Marienplatz 5 - 6,Schlossparkcenter,Schwerin,19053,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Wismar Altwismarstr. 27 a,"Wismar Altwismarstr. 27 a, Germany","53.892482, 11.4675541",53.892482,11.4675541,53.892482,11.4675541,Franchise,Tom Tailor Store,Altwismarstr. 27 a,,Wismar,23966,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Greifswald Lange Str. 46 - 48,"Greifswald Lange Str. 46 - 48, Germany","54.0961146, 13.3762339",54.0961146,13.3762339,54.0961146,13.3762339,Franchise,Tom Tailor Store,Lange Str. 46 - 48,,Greifswald,17489,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Garbsen Havelser Str.1,"Garbsen Havelser Str.1, Germany","52.42650210000001, 9.596644999999999",52.4265021,9.596645,52.4265021,9.596645,Franchise,Tom Tailor Store,Havelser Str.1,Shopping Plaza,Garbsen,30823,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Bremerhaven Obere Bürger 14b,"Bremerhaven Obere Bürger 14b, Germany","53.5422166, 8.578056499999999",53.5422166,8.5780565,53.5422166,8.5780565,Franchise,Tom Tailor Store,Obere Bürger 14b,Columbuscenter,Bremerhaven,27568,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Berlin Marzahner Promenade 1a,"Berlin Marzahner Promenade 1a, Germany","52.5436813, 13.5448268",52.5436813,13.5448268,52.5436813,13.5448268,Franchise,Tom Tailor Store,Marzahner Promenade 1a,Eastgate,Berlin,12679,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Aurich Burgstr. 3,"Aurich Burgstr. 3, Germany","53.4691936, 7.48179",53.4691936,7.48179,53.4691936,7.48179,Franchise,Tom Tailor Store,Burgstr. 3,,Aurich,26603,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Norden Neuer Weg 2-3,"Norden Neuer Weg 2-3, Germany","53.596086, 7.208448000000001",53.596086,7.208448,53.596086,7.208448,Franchise,Tom Tailor Store,Neuer Weg 2-3,,Norden,26506,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Ansbach Neustadt 29,"Ansbach Neustadt 29, Germany","49.3016486, 10.5739046",49.3016486,10.5739046,49.3016486,10.5739046,Franchise,Tom Tailor Store,Neustadt 29,,Ansbach,91522,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Bietigheim-Bissingen Marktplatz 9,"Bietigheim-Bissingen Marktplatz 9, Germany","48.9596025, 9.1256808",48.9596025,9.1256808,48.9596025,9.1256808,Franchise,Tom Tailor Store,Marktplatz 9,,Bietigheim-Bissingen,74321,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Bühl Hauptstraße 66,"Bühl Hauptstraße 66, Germany","48.6965453, 8.136993799999999",48.6965453,8.1369938,48.6965453,8.1369938,Franchise,Tom Tailor Store,Hauptstraße 66,,Bühl,77815,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Castrop-Rauxel Am Markt 5,"Castrop-Rauxel Am Markt 5, Germany","51.5482784, 7.3112483",51.5482784,7.3112483,51.5482784,7.3112483,Franchise,Tom Tailor Store,Am Markt 5,,Castrop-Rauxel,44575,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Coesfeld Schüppenstraße 12,"Coesfeld Schüppenstraße 12, Germany","51.9449214, 7.1664608",51.9449214,7.1664608,51.9449214,7.1664608,Franchise,Tom Tailor Store,Schüppenstraße 12,,Coesfeld,48653,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Freising Obere Hauptstr. 3,"Freising Obere Hauptstr. 3, Germany","48.4003349, 11.7436164",48.4003349,11.7436164,48.4003349,11.7436164,Franchise,Tom Tailor Store,Obere Hauptstr. 3,,Freising,85354,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Füssen Ritterstr. 2,"Füssen Ritterstr. 2, Germany","47.5678117, 10.6988576",47.5678117,10.6988576,47.5678117,10.6988576,Franchise,Tom Tailor Store,Ritterstr. 2,,Füssen,87629,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Hallstadt Emil-Kemmer-Str. 19,"Hallstadt Emil-Kemmer-Str. 19, Germany","49.9177225, 10.8711487",49.9177225,10.8711487,49.9177225,10.8711487,Franchise,Tom Tailor Store,Emil-Kemmer-Str. 19,,Hallstadt,96103,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Landsberg Hubert-von-Herkomer-Str. 113,"Landsberg Hubert-von-Herkomer-Str. 113, Germany","48.04889, 10.8763059",48.04889,10.8763059,48.04889,10.8763059,Franchise,Tom Tailor Store,Hubert-von-Herkomer-Str. 113,,Landsberg,86899,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Lennestadt Hundemestraße 23,"Lennestadt Hundemestraße 23, Germany","51.1042292, 8.0728232",51.1042292,8.0728232,51.1042292,8.0728232,Franchise,Tom Tailor Store,Hundemestraße 23,,Lennestadt,57368,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Limburg Joseph-Schneider-Straße 1,"Limburg Joseph-Schneider-Straße 1, Germany","50.3839716, 8.058614",50.3839716,8.058614,50.3839716,8.058614,Franchise,Tom Tailor Store,Joseph-Schneider-Straße 1,,Limburg,65549,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Mosbach An der Bachmühle 5-7,"Mosbach An der Bachmühle 5-7, Germany","49.3537382, 9.144934400000002",49.3537382,9.1449344,49.3537382,9.1449344,Franchise,Tom Tailor Store,An der Bachmühle 5-7,,Mosbach,74821,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Offenburg Hauptstraße 75,"Offenburg Hauptstraße 75, Germany","48.4692572, 7.943319",48.4692572,7.943319,48.4692572,7.943319,Franchise,Tom Tailor Store,Hauptstraße 75,,Offenburg,77652,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Passau Bahnhofstraße 2,"Passau Bahnhofstraße 2, Germany","48.574146, 13.4563703",48.574146,13.4563703,48.574146,13.4563703,Franchise,Tom Tailor Store,Bahnhofstraße 2,,Passau,94032,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Saarlouis Karcherstraße 9,"Saarlouis Karcherstraße 9, Germany","49.31380720000001, 6.7523452",49.3138072,6.7523452,49.3138072,6.7523452,Franchise,Tom Tailor Store,Karcherstraße 9,,Saarlouis,66740,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Schongau Marienplatz 11,"Schongau Marienplatz 11, Germany","47.8112243, 10.8970011",47.8112243,10.8970011,47.8112243,10.8970011,Franchise,Tom Tailor Store,Marienplatz 11,,Schongau,86956,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Ulm Blaubeuerer Str. 95,"Ulm Blaubeuerer Str. 95, Germany","48.3995791, 9.9610431",48.3995791,9.9610431,48.3995791,9.9610431,Franchise,Tom Tailor Store,Blaubeuerer Str. 95,,Ulm,89077,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Freiburg,"Freiburg, Germany","47.9990077, 7.842104299999999",47.9990077,7.8421043,47.9990077,7.8421043,,,,,,,,,,,,,,,,,